episode,potions_used,moving_avg_potions_used,min_potions_used_so_far,unique_combos_used
206,6849,6730.78,6174,155
207,6742,6731.74,6174,151
208,6784,6731.58,6174,149
209,6671,6731.1,6174,143
210,6774,6730.04,6174,161
211,6863,6731.82,6174,163
212,6795,6732.56,6174,151
213,6785,6735.66,6174,144
214,6643,6730.92,6174,149
215,6788,6730.68,6174,159
216,6733,6730.66,6174,142
217,6580,6733.22,6174,140
218,6795,6737.42,6174,153
219,6586,6732.76,6174,156
220,6785,6735.28,6174,149
221,6767,6734.24,6174,155
222,6687,6731.46,6174,156
223,6904,6734.56,6174,160
224,6653,6732.3,6174,149
225,6772,6732.88,6174,156
226,6729,6732.88,6174,141
227,6746,6729.84,6174,149
228,6802,6736.14,6174,147
229,6706,6737.86,6174,146
230,6696,6738.94,6174,147
231,6667,6735.54,6174,158
232,6755,6737.7,6174,161
233,6649,6733.72,6174,144
234,6655,6732.96,6174,151
235,6829,6733.82,6174,151
236,6705,6735.34,6174,153
237,6771,6735.42,6174,146
238,6752,6735.76,6174,162
239,6773,6737.92,6174,148
240,6580,6733.84,6174,153
241,6829,6737.14,6174,165
242,6707,6736.14,6174,128
243,6725,6734.92,6174,161
244,6665,6734.12,6174,156
245,6804,6733.82,6174,148
246,6791,6737.28,6174,154
247,6799,6737.6,6174,150
248,6633,6734.8,6174,159
249,6699,6733.34,6174,160
250,6687,6731.78,6174,163
251,6685,6730.98,6174,143
252,6782,6733.7,6174,154
253,6645,6732.64,6174,154
254,6789,6735.7,6174,162
255,6658,6733.38,6174,148
256,6792,6732.24,6174,143
257,6768,6732.76,6174,135
258,6857,6734.22,6174,139
259,6918,6739.16,6174,154
260,6657,6736.82,6174,154
261,6600,6731.56,6174,155
262,6672,6729.1,6174,153
263,6686,6727.12,6174,156
264,6777,6729.8,6174,148
265,6739,6728.82,6174,151
266,6785,6729.86,6174,160
267,6647,6731.2,6174,151
268,6759,6730.48,6174,164
269,6672,6732.2,6174,172
270,6602,6728.54,6174,162
271,6565,6724.5,6174,152
272,6801,6726.78,6174,142
273,6825,6725.2,6174,150
274,6844,6729.02,6174,141
275,6643,6726.44,6174,160
276,6615,6724.16,6174,155
277,6803,6725.3,6174,142
278,6631,6721.88,6174,153
279,6762,6723,6174,158
280,6829,6725.66,6174,142
281,6720,6726.72,6174,147
282,6773,6727.08,6174,148
283,6642,6726.94,6174,161
284,6675,6727.34,6174,149
285,6614,6723.04,6174,141
286,6681,6722.56,6174,161
287,6698,6721.1,6174,146
288,6946,6724.98,6174,160
289,6729,6724.1,6174,153
290,6767,6727.84,6174,138
291,6731,6725.88,6174,137
292,6772,6727.18,6174,153
293,6639,6725.46,6174,157
294,6756,6727.28,6174,151
295,6731,6725.82,6174,153
296,6696,6723.92,6174,148
297,6750,6722.94,6174,145
298,6767,6725.62,6174,150
299,6670,6725.04,6174,146
300,6667,6724.64,6174,148
301,6802,6726.98,6174,147
302,6767,6726.68,6174,148
303,6790,6729.58,6174,153
304,6607,6725.94,6174,151
305,6705,6726.88,6174,163
306,6786,6726.76,6174,166
307,6809,6727.58,6174,156
308,6617,6722.78,6174,150
309,6639,6717.2,6174,158
310,6765,6719.36,6174,159
311,6620,6719.76,6174,155
312,6752,6721.36,6174,150
313,6506,6717.76,6174,152
314,6685,6715.92,6174,156
315,6676,6714.66,6174,156
316,6835,6715.66,6174,145
317,6776,6718.24,6174,147
318,6739,6717.84,6174,168
319,6721,6718.82,6174,162
320,6664,6720.06,6174,144
321,6685,6722.46,6174,146
322,6798,6722.4,6174,145
323,6608,6718.06,6174,152
324,6709,6715.36,6174,144
325,6760,6717.7,6174,144
326,6692,6719.24,6174,150
327,6498,6713.14,6174,159
328,6763,6715.78,6174,157
329,6661,6713.76,6174,152
330,6672,6710.62,6174,149
331,6701,6710.24,6174,152
332,6709,6708.96,6174,149
333,6857,6713.26,6174,157
334,6684,6713.44,6174,156
335,6671,6714.58,6174,154
336,6703,6715.02,6174,150
337,6631,6713.68,6174,156
338,6759,6709.94,6174,145
339,6638,6708.12,6174,143
340,6806,6708.9,6174,154
341,6767,6709.62,6174,148
342,6788,6709.94,6174,156
343,6711,6711.38,6174,144
344,6618,6708.62,6174,158
345,6780,6709.6,6174,147
346,6805,6711.78,6174,164
347,6662,6710.02,6174,143
348,6753,6709.74,6174,146
349,6831,6712.96,6174,147
350,6628,6712.18,6174,149
351,6875,6713.64,6174,153
352,6777,6713.84,6174,152
353,6836,6714.76,6174,154
354,6764,6717.9,6174,156
355,6856,6720.92,6174,156
356,6727,6719.74,6174,145
357,6701,6717.58,6174,152
358,6544,6716.12,6174,159
359,6851,6720.36,6174,147
360,6636,6717.78,6174,139
361,6610,6717.58,6174,151
362,6703,6716.6,6174,153
363,6721,6720.9,6174,152
364,6580,6718.8,6174,152
365,6740,6720.08,6174,145
366,6605,6715.48,6174,160
367,6838,6716.72,6174,148
368,6759,6717.12,6174,144
369,6712,6716.94,6174,135
370,6709,6717.84,6174,151
371,6711,6718.36,6174,146
372,6701,6716.42,6174,159
373,6686,6717.98,6174,157
374,6766,6719.12,6174,147
375,6721,6718.34,6174,143
376,6717,6718.84,6174,148
377,6671,6722.3,6174,158
378,6686,6720.76,6174,157
379,6536,6718.26,6174,158
380,6610,6717.02,6174,155
381,6597,6714.94,6174,157
382,6730,6715.36,6174,146
383,6677,6711.76,6174,151
384,6647,6711.02,6174,153
385,6716,6711.92,6174,131
386,6659,6711.04,6174,152
387,6814,6714.7,6174,151
388,6781,6715.14,6174,158
389,6771,6717.8,6174,163
390,6672,6715.12,6174,150
391,6752,6714.82,6174,150
392,6692,6712.9,6174,147
393,6613,6710.94,6174,152
394,6747,6713.52,6174,144
395,6804,6714,6174,152
396,6818,6714.26,6174,136
397,6590,6712.82,6174,153
398,6777,6713.3,6174,160
399,6653,6709.74,6174,164
400,6605,6709.28,6174,161
401,6614,6704.06,6174,140
402,6710,6702.72,6174,139
403,6663,6699.26,6174,146
404,6689,6697.76,6174,155
405,6621,6693.06,6174,147
406,6749,6693.5,6174,144
407,6782,6695.12,6174,146
408,6769,6699.62,6174,156
409,6612,6694.84,6174,151
410,6755,6697.22,6174,145
411,6711,6699.24,6174,154
412,6690,6698.98,6174,144
413,6687,6698.3,6174,152
414,6809,6702.88,6174,146
415,6719,6702.46,6174,147
416,6756,6705.48,6174,150
417,6681,6702.34,6174,149
418,6742,6702,6174,151
419,6869,6705.14,6174,142
420,6674,6704.44,6174,145
421,6617,6702.56,6174,155
422,6737,6703.28,6174,159
423,6616,6701.88,6174,154
424,6738,6701.32,6174,165
425,6688,6700.66,6174,148
426,6616,6698.64,6174,150
427,6668,6698.58,6174,148
428,6738,6699.62,6174,149
429,6545,6699.8,6174,145
430,6805,6703.7,6174,152
431,6750,6706.76,6174,148
432,6680,6705.76,6174,150
433,6639,6705,6174,144
434,6691,6705.88,6174,151
435,6715,6705.86,6174,132
436,6654,6705.76,6174,154
437,6616,6701.8,6174,166
438,6704,6700.26,6174,160
439,6708,6699,6174,146
440,6698,6699.52,6174,152
441,6658,6697.64,6174,148
442,6649,6696.78,6174,152
443,6717,6698.86,6174,148
444,6730,6698.52,6174,161
445,6763,6697.7,6174,154
446,6585,6693.04,6174,158
447,6677,6694.78,6174,134
448,6732,6693.88,6174,150
449,6617,6693.16,6174,145
450,6793,6696.92,6174,151
451,6723,6699.1,6174,166
452,6652,6697.94,6174,152
453,6611,6696.9,6174,142
454,6642,6695.96,6174,149
455,6634,6696.22,6174,153
456,6763,6696.5,6174,157
457,6760,6696.06,6174,153
458,6852,6697.72,6174,145
459,6792,6701.32,6174,141
460,6685,6699.92,6174,160
461,6778,6701.26,6174,149
462,6727,6702,6174,160
463,6663,6701.52,6174,146
464,6644,6698.22,6174,143
465,6636,6696.56,6174,157
466,6618,6693.8,6174,150
467,6613,6692.44,6174,147
468,6586,6689.32,6174,155
469,6771,6687.36,6174,148
470,6632,6686.52,6174,150
471,6580,6685.78,6174,156
472,6545,6681.94,6174,159
473,6760,6684.82,6174,141
474,6683,6683.72,6174,143
475,6579,6681.54,6174,148
476,6762,6684.46,6174,157
477,6710,6685.3,6174,151
478,6811,6686.76,6174,149
479,6709,6690.04,6174,152
480,6766,6689.26,6174,152
481,6780,6689.86,6174,160
482,6711,6690.48,6174,156
483,6691,6691.52,6174,144
484,6800,6693.7,6174,157
485,6847,6696.34,6174,151
486,6774,6698.74,6174,152
487,6669,6699.8,6174,147
488,6653,6698.78,6174,152
489,6606,6696.74,6174,157
490,6792,6698.62,6174,151
491,6664,6698.74,6174,152
492,6800,6701.76,6174,152
493,6615,6699.72,6174,151
494,6717,6699.46,6174,153
495,6588,6695.96,6174,151
496,6692,6698.1,6174,150
497,6783,6700.22,6174,149
498,6709,6699.76,6174,141
499,6666,6700.74,6174,154
500,6711,6699.1,6174,161
501,6629,6697.22,6174,159
502,6734,6698.86,6174,149
503,6719,6701.02,6174,161
504,6760,6703.38,6174,160
505,6642,6703.54,6174,159
506,6763,6703.54,6174,147
507,6674,6701.82,6174,153
508,6719,6699.16,6174,162
509,6590,6695.12,6174,148
510,6707,6695.56,6174,154
511,6747,6694.94,6174,161
512,6632,6693.04,6174,138
513,6644,6692.66,6174,160
514,6666,6693.1,6174,153
515,6801,6696.4,6174,155
516,6800,6700.04,6174,156
517,6559,6698.96,6174,156
518,6634,6699.92,6174,155
519,6719,6698.88,6174,154
520,6681,6699.86,6174,149
521,6599,6700.24,6174,159
522,6711,6703.56,6174,149
523,6550,6699.36,6174,140
524,6691,6699.52,6174,150
525,6770,6703.34,6174,143
526,6686,6701.82,6174,158
527,6793,6703.48,6174,154
528,6714,6701.54,6174,165
529,6610,6699.56,6174,150
530,6671,6697.66,6174,149
531,6676,6695.58,6174,148
532,6651,6694.38,6174,150
533,6643,6693.42,6174,152
534,6771,6692.84,6174,150
535,6748,6690.86,6174,151
536,6600,6687.38,6174,151
537,6643,6686.86,6174,139
538,6731,6688.42,6174,144
539,6698,6690.26,6174,150
540,6632,6687.06,6174,140
541,6812,6690.02,6174,144
542,6756,6689.14,6174,154
543,6649,6689.82,6174,144
544,6627,6688.02,6174,140
545,6744,6691.14,6174,144
546,6660,6690.5,6174,152
547,6758,6690,6174,154
548,6696,6689.74,6174,154
549,6526,6686.94,6174,147
550,6593,6684.58,6174,159
551,6694,6685.88,6174,152
552,6760,6686.4,6174,152
553,6687,6685.76,6174,153
554,6623,6683.02,6174,149
555,6709,6684.36,6174,140
556,6638,6681.86,6174,143
557,6779,6683.96,6174,160
558,6492,6679.42,6174,152
559,6702,6681.66,6174,154
560,6648,6680.48,6174,141
561,6765,6680.84,6174,129
562,6745,6683.1,6174,145
563,6787,6685.96,6174,152
564,6673,6686.1,6174,155
565,6577,6681.62,6174,142
566,6702,6679.66,6174,146
567,6678,6682.04,6174,157
568,6719,6683.74,6174,144
569,6587,6681.1,6174,138
570,6710,6681.68,6174,150
571,6820,6686.1,6174,157
572,6766,6687.2,6174,152
573,6608,6688.36,6174,153
574,6578,6686.1,6174,154
575,6665,6684,6174,157
576,6712,6684.52,6174,146
577,6646,6681.58,6174,145
578,6738,6682.06,6174,159
579,6683,6683.52,6174,145
580,6630,6682.7,6174,151
581,6699,6683.16,6174,150
582,6648,6683.1,6174,154
583,6772,6685.68,6174,157
584,6618,6682.62,6174,155
585,6775,6683.16,6174,138
586,6521,6681.58,6174,159
587,6607,6680.86,6174,146
588,6586,6677.96,6174,153
589,6685,6677.7,6174,149
590,6664,6678.34,6174,148
591,6596,6674.02,6174,151
592,6629,6671.48,6174,138
593,6704,6672.58,6174,156
594,6757,6675.18,6174,164
595,6683,6673.96,6174,144
596,6692,6674.6,6174,143
597,6863,6676.7,6174,152
598,6694,6676.66,6174,144
599,6732,6680.78,6174,152
600,6704,6683,6174,153
601,6742,6683.96,6174,156
602,6733,6683.42,6174,160
603,6639,6682.46,6174,151
604,6587,6681.74,6174,141
605,6700,6681.56,6174,148
606,6669,6682.18,6174,144
607,6743,6681.46,6174,131
608,6564,6682.9,6174,151
609,6529,6679.44,6174,147
610,6613,6678.74,6174,148
611,6663,6676.7,6174,144
612,6608,6673.96,6174,147
613,6614,6670.5,6174,149
614,6812,6673.28,6174,141
615,6659,6674.92,6174,146
616,6628,6673.44,6174,142
617,6618,6672.24,6174,141
618,6709,6672.04,6174,156
619,6708,6674.46,6174,140
620,6877,6677.8,6174,156
621,6700,6675.4,6174,153
622,6533,6670.74,6174,164
623,6679,6672.16,6174,145
624,6587,6672.34,6174,146
625,6844,6675.92,6174,144
626,6724,6676.16,6174,139
627,6701,6677.26,6174,152
628,6734,6677.18,6174,149
629,6646,6676.44,6174,148
630,6684,6677.52,6174,154
631,6645,6676.44,6174,150
632,6554,6674.56,6174,155
633,6669,6672.5,6174,146
634,6709,6674.32,6174,152
635,6763,6674.08,6174,144
636,6694,6677.54,6174,148
637,6724,6679.88,6174,150
638,6656,6681.28,6174,145
639,6682,6681.22,6174,153
640,6624,6680.42,6174,139
641,6656,6681.62,6174,144
642,6620,6681.44,6174,156
643,6725,6681.86,6174,141
644,6614,6679,6174,152
645,6635,6678.04,6174,158
646,6651,6677.22,6174,151
647,6762,6675.2,6174,142
648,6724,6675.8,6174,145
649,6642,6674,6174,139
650,6573,6671.38,6174,159
651,6663,6669.8,6174,142
652,6556,6666.26,6174,158
653,6587,6665.22,6174,154
654,6635,6666.18,6174,151
655,6674,6665.66,6174,141
656,6567,6663.62,6174,147
657,6638,6661.52,6174,143
658,6551,6661.26,6174,138
659,6716,6665,6174,139
660,6541,6663.56,6174,154
661,6683,6663.96,6174,159
662,6666,6665.12,6174,147
663,6685,6666.54,6174,151
664,6773,6665.76,6174,145
665,6660,6665.78,6174,146
666,6597,6665.16,6174,154
667,6740,6667.6,6174,148
668,6611,6665.64,6174,146
669,6610,6663.68,6174,147
670,6658,6659.3,6174,163
671,6624,6657.78,6174,148
672,6669,6660.5,6174,139
673,6614,6659.2,6174,152
674,6696,6661.38,6174,137
675,6634,6657.18,6174,147
676,6715,6657,6174,155
677,6721,6657.4,6174,139
678,6674,6656.2,6174,158
679,6655,6656.38,6174,157
680,6701,6656.72,6174,149
681,6604,6655.9,6174,138
682,6731,6659.44,6174,149
683,6560,6657.26,6174,153
684,6651,6656.1,6174,162
685,6808,6657,6174,150
686,6704,6657.2,6174,140
687,6775,6658.22,6174,145
688,6684,6658.78,6174,144
689,6698,6659.1,6174,137
690,6770,6662.02,6174,147
691,6576,6660.42,6174,150
692,6638,6660.78,6174,163
693,6668,6659.64,6174,143
694,6701,6661.38,6174,152
695,6668,6662.04,6174,148
696,6633,6661.68,6174,137
697,6667,6659.78,6174,146
698,6474,6654.78,6174,139
699,6615,6654.24,6174,144
700,6637,6655.52,6174,143
701,6689,6656.04,6174,145
702,6680,6658.52,6174,148
703,6739,6661.56,6174,149
704,6733,6663.52,6174,155
