Combo,Score
MAL,0.13316607313737608
ALL-LLL,0.07477915570224175
LLL-MLL,0.06629988926750804
LLL-LLL,0.06417718400766619
ALL-MLL,0.043221752669169576
ALL-ALL,0.030023415112411057
MLL-MLL,0.028180147606811447
LLL-MAL,0.028008962298309657
MLL,0.025981371633119577
MAL-MLL,0.02137968711984549
ALL-MAL,0.02027621079132226
LLL-MML,0.01726289079486665
MLL-MML,0.012045823515003006
ALL-MML,0.011324102396174573
ALA-LLL,0.010693210120999658
MAL-MAL,0.009810519826179242
ALA-ALL,0.009481246038234418
ALA-MLL,0.009276930448953646
MAL-MML,0.007898383872951126
ALA-MAL,0.006687194385336018
ALA-LLL-LLL,0.006555890830875392
ALA-ALL-LLL,0.006461666755391292
ALL,0.006108066955893994
LLL-LLL-MML,0.0060096106861661155
ALL-LLL-MML,0.00582672801115724
ALA-LLL-MLL,0.005756727110580251
LLL-MLL-MML,0.005713523942812193
ALA-LLL-MML,0.005079450516262838
ALA-ALL-MLL,0.004822914602373396
ALL-MLL-MML,0.004524368099891708
LLL-MLL-MMM,0.004440090353638396
LLL-LLL-MMM,0.00417934978273081
ALL-LLL-MMM,0.0041407763143892955
ALA-LLL-MAL,0.003929457422384155
AAA-ALL-LLL,0.003767569949958519
ALL-ALL-MML,0.003733714240389887
ALA-ALL-ALL,0.003701853213738761
LLL-MAL-MML,0.0036450232880119687
AAA-LLL-MLL,0.0036078890576915724
MLL-MLL-MML,0.0035733014218995887
ALA-MLL-MLL,0.0034513722638453343
LLL-LLL-MMA,0.0033898013237337018
AAM-LLL-MLL,0.0032839942044487623
AAA-LLL-LLL,0.003184122091741833
ALA-ALL-MML,0.0031640006536604124
ALL-LLL-MMA,0.003157389463561534
ALA-ALL-MAL,0.003109605357545552
AAA-ALL-MLL,0.0030471551701624043
AAM-ALL-LLL,0.002967500776188801
ALA-MLL-MML,0.0029603305312204584
ALL-MLL-MMM,0.00294279726233989
LLL-MLL-MMA,0.0029402550103051813
MAL-MLL-MML,0.0028457329708457277
ALL-MAL-MML,0.002807887502174323
ALL-MLL-MMA,0.002796166461893689
LLL-MML-MML,0.002789457036375234
ALA-ALA-LLL,0.0027772820261303625
ALA-MAL-MLL,0.002775754409783265
AAM-LLL-LLL,0.002728415457856472
LLL-MAL-MMM,0.002683308569430818
ALL-LLL-LLL,0.002664561195926164
ALL-LLL-MLL,0.0026632664097269564
AAM-ALL-MLL,0.0025962472929980463
LLL-LLL-LLL,0.0024797101381991704
ALL-ALL-MMM,0.0023723368580044132
LLL-LLL-MLL,0.0023703245544190355
MLL-MLL-MMM,0.0022884698472302434
AAA-MLL-MLL,0.0022309857338357417
ALL-ALL-LLL,0.0021827495667943193
ALL-MML-MML,0.0021140624175644772
AAA-LLL-MAL,0.002109185388528808
MAL-MLL-MMM,0.002083169037431171
LLL-MAL-MMA,0.002023826826142243
MLL-MLL-MMA,0.002022498864782525
AAA-ALL-ALL,0.0020166121795407725
AAA-ALL-MAL,0.0020044535073987816
ALL-MAL-MMM,0.0019295336808436917
ALA-ALA-ALL,0.001925008542275334
ALA-MAL-MML,0.0019190423332297744
AAM-MLL-MLL,0.0018928096899209848
LLL-MAL-MLL,0.001843815990093009
AAM-ALL-ALL,0.0018255305541503074
ALL-LLL-MAL,0.0017859956736550533
ALL-ALL-MMA,0.0017682588548704715
AAM-LLL-MAL,0.001683821187373004
ALA-ALA-MLL,0.0016637807627031987
MLL-MML-MML,0.0016328193956525376
AAM-MAL-MLL,0.0016287132300907804
LLL-MLL-MLL,0.0016138163622859854
AAA-MAL-MLL,0.0015510142572606194
MAL-MLL-MMA,0.0015449767431462422
MAL-MAL-MML,0.001519688614521184
ALA-MAL-MAL,0.0014970854604840623
AAM-ALL-MAL,0.0014544566619936554
ALL-MAL-MMA,0.001429204843918214
LLL-LLL-MAL,0.0012375901817152015
AAA-MAL-MAL,0.0011260762644304566
ALL-MAL-MLL,0.0010523828851468466
MAL-MAL-MMM,0.0010498699398619
MAL-MML-MML,0.0010066089790614742
ALL-ALL-MLL,0.0009188573808509833
ALL-MLL-MLL,0.0008778697010706485
LLL-MAL-MAL,0.0008623546439777975
AAM-MAL-MAL,0.0007815266693347398
ALA-ALA-MAL,0.0007484264638581932
ALL-ALL-MAL,0.0007104651857975278
MAL-MAL-MMA,0.0006889105040734576
MAL-MLL-MLL,0.0006326264179128921
ALL-MAL-MAL,0.0006074951350185365
MAL-MAL-MLL,0.000540056311378043
ALL-ALL-ALL,0.0005159568782777308
MLL-MLL-MLL,0.00044522920691927095
MAL-MAL-MAL,0.0002385982039071069
MAL-MML-MMM,2.335455461080532e-05
MML-MML-MML,-1.8532691792789457e-05
MLL-MMA-MML,-3.751958324781155e-05
AAM-MAL-MML,-0.00011307550889515395
AAM-ALA-MAL,-0.0001603441793875383
MAL-MMA-MML,-0.00020493876925504133
AAM-MLL-MML,-0.00021102672376451255
AAA-MAL-MML,-0.00022351735668277404
ALA-MAL-MMA,-0.0002502170729600044
ALA-MAL-MMM,-0.00034338226381687794
ALA-MLL-MMA,-0.00041861856657015776
AAM-ALL-MML,-0.000521548093291764
MLL-MML-MMM,-0.0006911284269803253
ALA-ALA-ALA,-0.0007009674886959114
AAA-ALA-MAL,-0.0007269396696505497
AAM-ALA-ALL,-0.0007672014586375408
ALA-ALL-MMM,-0.0007705978361950983
ALA-MML-MML,-0.0007875080857801014
AAM-ALA-MLL,-0.0008880713813949664
ALL-MMA-MML,-0.000956256614253624
ALL-MML-MMM,-0.0009639397971630375
ALA-ALL-MMA,-0.0010929097362051094
LLL-MMA-MML,-0.00112698782594032
AAM-LLL-MML,-0.001134151084389873
MAL-MMA-MMA,-0.0011541914624641665
LLL-MML-MMM,-0.0012001084083887374
